Class,Sex,Age,Survived
317,Male,Adult,No
318,Male,Adult,No
319,Male,Adult,No
320,Male,Adult,No
321,Male,Adult,No
322,Male,Adult,No
323,Male,Adult,No
324,Male,Adult,No
325,Male,Adult,No
326,Male,Adult,No
327,Male,Adult,No
328,Male,Adult,No
329,Male,Adult,No
330,Male,Adult,No
331,Male,Adult,No
332,Male,Adult,No
333,Male,Adult,No
334,Male,Adult,No
335,Male,Adult,No
336,Male,Adult,No
337,Male,Adult,No
338,Male,Adult,No
339,Male,Adult,No
340,Male,Adult,No
341,Male,Adult,No
342,Male,Adult,No
343,Male,Adult,No
344,Male,Adult,No
345,Male,Adult,No
346,Male,Adult,No
347,Male,Adult,No
348,Male,Adult,No
349,Male,Adult,No
350,Male,Adult,No
351,Male,Adult,No
352,Male,Adult,No
353,Male,Adult,No
354,Male,Adult,No
355,Male,Adult,No
356,Male,Adult,No
357,Male,Adult,No
358,Male,Adult,No
359,Male,Adult,No
360,Male,Adult,No
361,Male,Adult,No
362,Male,Adult,No
363,Male,Adult,No
364,Male,Adult,No
365,Male,Adult,No
366,Male,Adult,No
367,Male,Adult,No
368,Male,Adult,No
369,Male,Adult,No
370,Male,Adult,No
371,Male,Adult,No
372,Male,Adult,No
373,Male,Adult,No
374,Male,Adult,No
375,Male,Adult,No
376,Male,Adult,No
377,Male,Adult,No
378,Male,Adult,No
379,Male,Adult,No
380,Male,Adult,No
381,Male,Adult,No
382,Male,Adult,No
383,Male,Adult,No
384,Male,Adult,No
385,Male,Adult,No
386,Male,Adult,No
387,Male,Adult,No
388,Male,Adult,No
389,Male,Adult,No
390,Male,Adult,No
391,Male,Adult,No
392,Male,Adult,No
393,Male,Adult,No
394,Male,Adult,No
395,Male,Adult,No
396,Male,Adult,No
397,Male,Adult,No
398,Male,Adult,No
399,Male,Adult,No
400,Male,Adult,No
401,Male,Adult,No
402,Male,Adult,No
403,Male,Adult,No
404,Male,Adult,No
405,Male,Adult,No
406,Male,Adult,No
407,Male,Adult,No
408,Male,Adult,No
409,Male,Adult,No
410,Male,Adult,No
411,Male,Adult,No
412,Male,Adult,No
413,Male,Adult,No
414,Male,Adult,No
415,Male,Adult,No
416,Male,Adult,No
417,Male,Adult,No
418,Male,Adult,No
419,Male,Adult,No
420,Male,Adult,No
421,Male,Adult,No
422,Male,Adult,No
423,Male,Adult,No
424,Male,Adult,No
425,Male,Adult,No
426,Male,Adult,No
427,Male,Adult,No
428,Male,Adult,No
429,Male,Adult,No
430,Male,Adult,No
431,Male,Adult,No
432,Male,Adult,No
433,Male,Adult,No
434,Male,Adult,No
435,Male,Adult,No
436,Male,Adult,No
437,Male,Adult,No
438,Male,Adult,No
439,Male,Adult,No
440,Male,Adult,No
441,Male,Adult,No
442,Male,Adult,No
443,Male,Adult,No
444,Male,Adult,No
445,Male,Adult,No
446,Male,Adult,No
447,Male,Adult,No
448,Male,Adult,No
449,Male,Adult,No
450,Male,Adult,No
451,Male,Adult,No
452,Male,Adult,No
453,Male,Adult,No
454,Male,Adult,No
455,Male,Adult,No
456,Male,Adult,No
457,Male,Adult,No
458,Male,Adult,No
459,Male,Adult,No
460,Male,Adult,No
461,Male,Adult,No
462,Male,Adult,No
463,Male,Adult,No
464,Male,Adult,No
465,Male,Adult,No
466,Male,Adult,No
467,Male,Adult,No
468,Male,Adult,No
469,Male,Adult,No
470,Male,Adult,No
471,Male,Adult,No
472,Male,Adult,No
473,Male,Adult,No
474,Male,Adult,No
475,Male,Adult,No
476,Male,Adult,No
477,Male,Adult,No
478,Male,Adult,No
479,Male,Adult,No
480,Male,Adult,No
481,Male,Adult,No
482,Male,Adult,No
483,Male,Adult,No
484,Male,Adult,No
485,Male,Adult,No
486,Male,Adult,No
487,Male,Adult,No
488,Male,Adult,No
489,Male,Adult,No
490,Male,Adult,No
491,Male,Adult,No
492,Male,Adult,No
493,Male,Adult,No
494,Male,Adult,No
495,Male,Adult,No
496,Male,Adult,No
497,Male,Adult,No
498,Male,Adult,No
499,Male,Adult,No
500,Male,Adult,No
501,Male,Adult,No
502,Male,Adult,No
503,Male,Adult,No
504,Male,Adult,No
505,Male,Adult,No
506,Male,Adult,No
507,Male,Adult,No
508,Male,Adult,No
509,Male,Adult,No
510,Male,Adult,No
511,Male,Adult,No
512,Male,Adult,No
513,Male,Adult,No
514,Male,Adult,No
515,Male,Adult,No
516,Male,Adult,No
517,Male,Adult,No
518,Male,Adult,No
519,Male,Adult,No
520,Male,Adult,No
521,Male,Adult,No
522,Male,Adult,No
523,Male,Adult,No
524,Male,Adult,No
525,Male,Adult,No
526,Male,Adult,No
527,Male,Adult,No
528,Male,Adult,No
529,Male,Adult,No
530,Male,Adult,No
531,Male,Adult,No
532,Male,Adult,No
533,Male,Adult,No
534,Male,Adult,No
535,Male,Adult,No
536,Male,Adult,No
537,Male,Adult,No
538,Male,Adult,No
539,Male,Adult,No
540,Male,Adult,No
541,Male,Adult,No
542,Male,Adult,No
543,Male,Adult,No
544,Male,Adult,No
545,Male,Adult,No
546,Male,Adult,No
547,Male,Adult,No
548,Male,Adult,No
549,Male,Adult,No
550,Male,Adult,No
551,Male,Adult,No
552,Male,Adult,No
553,Male,Adult,No
554,Male,Adult,No
555,Male,Adult,No
556,Male,Adult,No
557,Male,Adult,No
558,Male,Adult,No
559,Male,Adult,No
560,Male,Adult,No
561,Male,Adult,No
562,Male,Adult,No
563,Male,Adult,No
564,Male,Adult,No
565,Male,Adult,No
566,Male,Adult,No
567,Male,Adult,No
568,Male,Adult,No
569,Male,Adult,No
570,Male,Adult,No
571,Male,Adult,No
572,Male,Adult,No
573,Male,Adult,No
574,Male,Adult,No
575,Male,Adult,No
576,Male,Adult,No
577,Male,Adult,No
578,Male,Adult,No
579,Male,Adult,No
580,Male,Adult,No
581,Male,Adult,No
582,Male,Adult,No
583,Male,Adult,No
584,Male,Adult,No
585,Male,Adult,No
586,Male,Adult,No
587,Male,Adult,No
588,Male,Adult,No
589,Male,Adult,No
590,Male,Adult,No
591,Male,Adult,No
592,Male,Adult,No
593,Male,Adult,No
594,Male,Adult,No
595,Male,Adult,No
596,Male,Adult,No
597,Male,Adult,No
598,Male,Adult,No
599,Male,Adult,No
600,Male,Adult,No
601,Male,Adult,No
602,Male,Adult,No
603,Male,Adult,No
604,Male,Adult,No
605,Male,Adult,No
606,Male,Adult,No
607,Male,Adult,No
608,Male,Adult,No
609,Male,Adult,No
610,Male,Adult,No
611,Male,Adult,No
612,Male,Adult,No
613,Male,Adult,No
614,Male,Adult,No
615,Male,Adult,No
616,Male,Adult,No
617,Male,Adult,No
618,Male,Adult,No
619,Male,Adult,No
620,Male,Adult,No
621,Male,Adult,No
622,Male,Adult,No
623,Male,Adult,No
624,Male,Adult,No
625,Male,Adult,No
626,Male,Adult,No
627,Male,Adult,No
628,Male,Adult,No
629,Male,Adult,No
630,Male,Adult,No
631,Male,Adult,No
632,Male,Adult,No
633,Male,Adult,No
634,Male,Adult,No
635,Male,Adult,No
636,Male,Adult,No
637,Male,Adult,No
638,Male,Adult,No
639,Male,Adult,No
640,Male,Adult,No
641,Male,Adult,No
642,Male,Adult,No
643,Male,Adult,No
644,Male,Adult,No
645,Male,Adult,No
646,Male,Adult,No
647,Male,Adult,No
648,Male,Adult,No
649,Male,Adult,No
650,Male,Adult,No
651,Male,Adult,No
652,Male,Adult,No
653,Male,Adult,No
654,Male,Adult,No
655,Male,Adult,No
656,Male,Adult,No
657,Male,Adult,No
658,Male,Adult,No
659,Male,Adult,No
660,Male,Adult,No
661,Male,Adult,No
662,Male,Adult,No
663,Male,Adult,No
664,Male,Adult,No
665,Male,Adult,No
666,Male,Adult,No
667,Male,Adult,No
668,Male,Adult,No
669,Male,Adult,No
670,Male,Adult,No
671,Male,Adult,No
672,Male,Adult,No
673,Male,Adult,No
674,Male,Adult,No
675,Male,Adult,No
676,Male,Adult,No
677,Male,Adult,No
678,Male,Adult,No
679,Male,Adult,No
680,Male,Adult,No
681,Male,Adult,No
682,Male,Adult,No
683,Male,Adult,No
684,Male,Adult,No
685,Male,Adult,No
686,Male,Adult,No
687,Male,Adult,No
688,Male,Adult,No
689,Male,Adult,No
690,Male,Adult,No
691,Male,Adult,No
692,Male,Adult,No
693,Male,Adult,No
694,Male,Adult,No
695,Male,Adult,No
696,Male,Adult,No
697,Male,Adult,No
698,Male,Adult,No
699,Male,Adult,No
700,Male,Adult,No
701,Male,Adult,No
702,Male,Adult,No
703,Male,Adult,No
704,Male,Adult,No
705,Male,Adult,No
706,Male,Adult,No
707,Male,Adult,No
708,Male,Adult,No
709,Male,Adult,No
710,Male,Adult,No
711,Male,Adult,No
712,Male,Adult,No
713,Male,Adult,No
714,Male,Adult,No
715,Male,Adult,No
716,Male,Adult,No
717,Male,Adult,No
718,Male,Adult,No
719,Male,Adult,No
720,Male,Adult,No
721,Male,Adult,No
722,Male,Adult,No
723,Male,Adult,No
724,Male,Adult,No
725,Male,Adult,No
726,Male,Adult,No
727,Male,Adult,No
728,Male,Adult,No
729,Male,Adult,No
730,Male,Adult,No
731,Male,Adult,No
732,Male,Adult,No
733,Male,Adult,No
734,Male,Adult,No
735,Male,Adult,No
736,Male,Adult,No
737,Male,Adult,No
738,Male,Adult,No
739,Male,Adult,No
740,Male,Adult,No
741,Male,Adult,No
742,Male,Adult,No
743,Male,Adult,No
744,Male,Adult,No
745,Male,Adult,No
746,Male,Adult,No
747,Male,Adult,No
748,Male,Adult,No
749,Male,Adult,No
750,Male,Adult,No
751,Male,Adult,No
752,Male,Adult,No
753,Male,Adult,No
754,Male,Adult,No
755,Male,Adult,No
756,Male,Adult,No
757,Male,Adult,No
758,Male,Adult,No
759,Male,Adult,No
760,Male,Adult,No
761,Male,Adult,No
762,Male,Adult,No
763,Male,Adult,No
764,Male,Adult,No
765,Male,Adult,No
766,Male,Adult,No
767,Male,Adult,No
768,Male,Adult,No
769,Male,Adult,No
770,Male,Adult,No
771,Male,Adult,No
772,Male,Adult,No
773,Male,Adult,No
774,Male,Adult,No
775,Male,Adult,No
776,Male,Adult,No
777,Male,Adult,No
778,Male,Adult,No
779,Male,Adult,No
780,Male,Adult,No
781,Male,Adult,No
782,Male,Adult,No
783,Male,Adult,No
784,Male,Adult,No
785,Male,Adult,No
786,Male,Adult,No
787,Male,Adult,No
788,Male,Adult,No
789,Male,Adult,No
790,Male,Adult,No
791,Male,Adult,No
792,Male,Adult,No
793,Male,Adult,No
794,Male,Adult,No
795,Male,Adult,No
796,Male,Adult,No
797,Male,Adult,No
798,Male,Adult,No
799,Male,Adult,No
800,Male,Adult,No
801,Male,Adult,No
802,Male,Adult,No
803,Male,Adult,No
804,Male,Adult,No
805,Male,Adult,No
806,Male,Adult,No
807,Male,Adult,No
808,Male,Adult,No
809,Male,Adult,No
810,Male,Adult,No
811,Male,Adult,No
812,Male,Adult,No
813,Male,Adult,No
814,Male,Adult,No
815,Male,Adult,No
816,Male,Adult,No
817,Male,Adult,No
818,Male,Adult,No
819,Male,Adult,No
820,Male,Adult,No
821,Male,Adult,No
822,Male,Adult,No
823,Male,Adult,No
824,Male,Adult,No
825,Male,Adult,No
826,Male,Adult,No
827,Male,Adult,No
828,Male,Adult,No
829,Male,Adult,No
830,Male,Adult,No
831,Male,Adult,No
832,Male,Adult,No
833,Male,Adult,No
834,Male,Adult,No
835,Male,Adult,No
836,Male,Adult,No
837,Male,Adult,No
838,Male,Adult,No
839,Male,Adult,No
840,Male,Adult,No
841,Male,Adult,No
842,Male,Adult,No
843,Male,Adult,No
844,Male,Adult,No
845,Male,Adult,No
846,Male,Adult,No
847,Male,Adult,No
848,Male,Adult,No
849,Male,Adult,No
850,Male,Adult,No
851,Male,Adult,No
852,Male,Adult,No
853,Male,Adult,No
854,Male,Adult,No
855,Male,Adult,No
856,Male,Adult,No
857,Male,Adult,No
858,Male,Adult,No
859,Male,Adult,No
860,Male,Adult,No
861,Male,Adult,No
862,Male,Adult,No
863,Male,Adult,No
864,Male,Adult,No
865,Male,Adult,No
866,Male,Adult,No
867,Male,Adult,No
868,Male,Adult,No
869,Male,Adult,No
870,Male,Adult,No
871,Male,Adult,No
872,Male,Adult,No
873,Male,Adult,No
874,Male,Adult,No
875,Male,Adult,No
876,Male,Adult,No
877,Male,Adult,No
878,Male,Adult,No
879,Male,Adult,No
880,Male,Adult,No
881,Male,Adult,No
882,Male,Adult,No
883,Male,Adult,No
884,Male,Adult,No
885,Male,Adult,No
886,Male,Adult,No
887,Male,Adult,No
888,Male,Adult,No
889,Male,Adult,No
890,Male,Adult,No
891,Male,Adult,No
892,Male,Adult,No
893,Male,Adult,No
894,Male,Adult,No
895,Male,Adult,No
896,Male,Adult,No
897,Male,Adult,No
898,Male,Adult,No
899,Male,Adult,No
900,Male,Adult,No
901,Male,Adult,No
902,Male,Adult,No
903,Male,Adult,No
904,Male,Adult,No
905,Male,Adult,No
906,Male,Adult,No
907,Male,Adult,No
908,Male,Adult,No
909,Male,Adult,No
910,Male,Adult,No
911,Male,Adult,No
912,Male,Adult,No
913,Male,Adult,No
914,Male,Adult,No
915,Male,Adult,No
916,Male,Adult,No
917,Male,Adult,No
918,Male,Adult,No
919,Male,Adult,No
920,Male,Adult,No
921,Male,Adult,No
922,Male,Adult,No
923,Male,Adult,No
924,Male,Adult,No
925,Male,Adult,No
926,Male,Adult,No
927,Male,Adult,No
928,Male,Adult,No
929,Male,Adult,No
930,Male,Adult,No
931,Male,Adult,No
932,Male,Adult,No
933,Male,Adult,No
934,Male,Adult,No
935,Male,Adult,No
936,Male,Adult,No
937,Male,Adult,No
938,Male,Adult,No
939,Male,Adult,No
940,Male,Adult,No
941,Male,Adult,No
942,Male,Adult,No
943,Male,Adult,No
944,Male,Adult,No
945,Male,Adult,No
946,Male,Adult,No
947,Male,Adult,No
948,Male,Adult,No
949,Male,Adult,No
950,Male,Adult,No
951,Male,Adult,No
952,Male,Adult,No
953,Male,Adult,No
954,Male,Adult,No
955,Male,Adult,No
956,Male,Adult,No
957,Male,Adult,No
958,Male,Adult,No
959,Male,Adult,No
960,Male,Adult,No
961,Male,Adult,No
962,Male,Adult,No
963,Male,Adult,No
964,Male,Adult,No
965,Male,Adult,No
966,Male,Adult,No
967,Male,Adult,No
968,Male,Adult,No
969,Male,Adult,No
970,Male,Adult,No
971,Male,Adult,No
972,Male,Adult,No
973,Male,Adult,No
974,Male,Adult,No
975,Male,Adult,No
976,Male,Adult,No
977,Male,Adult,No
978,Male,Adult,No
979,Male,Adult,No
980,Male,Adult,No
981,Male,Adult,No
982,Male,Adult,No
983,Male,Adult,No
984,Male,Adult,No
985,Male,Adult,No
986,Male,Adult,No
987,Male,Adult,No
988,Male,Adult,No
989,Male,Adult,No
990,Male,Adult,No
991,Male,Adult,No
992,Male,Adult,No
993,Male,Adult,No
994,Male,Adult,No
995,Male,Adult,No
996,Male,Adult,No
997,Male,Adult,No
998,Male,Adult,No
999,Male,Adult,No
1000,Male,Adult,No
1001,Male,Adult,No
1002,Male,Adult,No
1003,Male,Adult,No
1004,Male,Adult,No
1005,Male,Adult,No
1006,Male,Adult,No
1007,Male,Adult,No
1008,Male,Adult,No
1009,Male,Adult,No
1010,Male,Adult,No
1011,Male,Adult,No
1012,Male,Adult,No
1013,Male,Adult,No
1014,Male,Adult,No
1015,Male,Adult,No
1016,Male,Adult,No
1017,Male,Adult,No
1018,Male,Adult,No
1019,Male,Adult,No
1020,Male,Adult,No
1021,Male,Adult,No
1022,Male,Adult,No
1023,Male,Adult,No
1024,Male,Adult,No
1025,Male,Adult,No
1026,Male,Adult,No
1027,Male,Adult,No
1028,Male,Adult,No
1029,Male,Adult,No
1030,Male,Adult,No
1031,Male,Adult,No
1032,Male,Adult,No
1033,Male,Adult,No
1034,Male,Adult,No
1035,Male,Adult,No
1036,Male,Adult,No
1037,Male,Adult,No
1038,Male,Adult,No
1039,Male,Adult,No
1040,Male,Adult,No
1041,Male,Adult,No
1042,Male,Adult,No
1043,Male,Adult,No
1044,Male,Adult,No
1045,Male,Adult,No
1046,Male,Adult,No
1047,Male,Adult,No
1048,Male,Adult,No
1049,Male,Adult,No
1050,Male,Adult,No
1051,Male,Adult,No
1052,Male,Adult,No
1053,Male,Adult,No
1054,Male,Adult,No
1055,Male,Adult,No
1056,Male,Adult,No
1057,Male,Adult,No
1058,Male,Adult,No
1059,Male,Adult,No
1060,Male,Adult,No
1061,Male,Adult,No
1062,Male,Adult,No
1063,Male,Adult,No
1064,Male,Adult,No
1065,Male,Adult,No
1066,Male,Adult,No
1067,Male,Adult,No
1068,Male,Adult,No
1069,Male,Adult,No
1070,Male,Adult,No
1071,Male,Adult,No
1072,Male,Adult,No
1073,Male,Adult,No
1074,Male,Adult,No
1075,Male,Adult,No
1076,Male,Adult,No
1077,Male,Adult,No
1078,Male,Adult,No
1079,Male,Adult,No
1080,Male,Adult,No
1081,Male,Adult,No
1082,Male,Adult,No
1083,Male,Adult,No
1084,Male,Adult,No
1085,Male,Adult,No
1086,Male,Adult,No
1087,Male,Adult,No
1088,Male,Adult,No
1089,Male,Adult,No
1090,Male,Adult,No
1091,Male,Adult,No
1092,Male,Adult,No
1093,Male,Adult,No
1094,Male,Adult,No
1095,Male,Adult,No
1096,Male,Adult,No
1097,Male,Adult,No
1098,Male,Adult,No
1099,Male,Adult,No
1100,Male,Adult,No
1101,Male,Adult,No
1102,Male,Adult,No
1103,Male,Adult,No
1104,Male,Adult,No
1105,Male,Adult,No
1106,Male,Adult,No
1107,Male,Adult,No
1108,Male,Adult,No
1109,Male,Adult,No
1110,Male,Adult,No
1111,Male,Adult,No
1112,Male,Adult,No
1113,Male,Adult,No
1114,Male,Adult,No
1115,Male,Adult,No
1116,Male,Adult,No
1117,Male,Adult,No
1118,Male,Adult,No
1119,Male,Adult,No
1120,Male,Adult,No
1121,Male,Adult,No
1122,Male,Adult,No
1123,Male,Adult,No
1124,Male,Adult,No
1125,Male,Adult,No
1126,Male,Adult,No
1127,Male,Adult,No
1128,Male,Adult,No
1129,Male,Adult,No
1130,Male,Adult,No
1131,Male,Adult,No
1132,Male,Adult,No
1133,Male,Adult,No
1134,Male,Adult,No
1135,Male,Adult,No
1136,Male,Adult,No
1137,Male,Adult,No
1138,Male,Adult,No
1139,Male,Adult,No
1140,Male,Adult,No
1141,Male,Adult,No
1142,Male,Adult,No
1143,Male,Adult,No
1144,Male,Adult,No
1145,Male,Adult,No
1146,Male,Adult,No
1147,Male,Adult,No
1148,Male,Adult,No
1149,Male,Adult,No
1150,Male,Adult,No
1151,Male,Adult,No
1152,Male,Adult,No
1153,Male,Adult,No
1154,Male,Adult,No
1155,Male,Adult,No
1156,Male,Adult,No
1157,Male,Adult,No
1158,Male,Adult,No
1159,Male,Adult,No
1160,Male,Adult,No
1161,Male,Adult,No
1162,Male,Adult,No
1163,Male,Adult,No
1164,Male,Adult,No
1165,Male,Adult,No
1166,Male,Adult,No
1167,Male,Adult,No
1168,Male,Adult,No
1169,Male,Adult,No
1170,Male,Adult,No
1171,Male,Adult,No
1172,Male,Adult,No
1173,Male,Adult,No
1174,Male,Adult,No
1175,Male,Adult,No
1176,Male,Adult,No
1177,Male,Adult,No
1178,Male,Adult,No
1179,Male,Adult,No
1180,Male,Adult,No
1181,Male,Adult,No
1182,Male,Adult,No
1183,Male,Adult,No
1184,Male,Adult,No
1185,Male,Adult,No
1186,Male,Adult,No
1187,Male,Adult,No
1188,Male,Adult,No
1189,Male,Adult,No
1190,Male,Adult,No
1191,Male,Adult,No
1192,Male,Adult,No
1193,Male,Adult,No
1194,Male,Adult,No
1195,Male,Adult,No
1196,Male,Adult,No
1197,Male,Adult,No
1198,Male,Adult,No
1199,Male,Adult,No
1200,Male,Adult,No
1201,Male,Adult,No
1202,Male,Adult,No
1203,Male,Adult,No
1204,Male,Adult,No
1205,Male,Adult,No
1206,Male,Adult,No
1207,Male,Adult,No
1208,Male,Adult,No
1209,Male,Adult,No
1210,Male,Adult,No
1211,Male,Adult,No
1212,Male,Adult,No
1213,Male,Adult,No
1214,Male,Adult,No
1215,Male,Adult,No
1216,Male,Adult,No
1217,Male,Adult,No
1218,Male,Adult,No
1219,Male,Adult,No
1220,Male,Adult,No
1221,Male,Adult,No
1222,Male,Adult,No
1223,Male,Adult,No
1224,Male,Adult,No
1225,Male,Adult,No
1226,Male,Adult,No
1227,Male,Adult,No
1228,Male,Adult,No
1229,Male,Adult,No
1230,Male,Adult,No
1231,Male,Adult,No
1232,Male,Adult,No
1233,Male,Adult,No
1234,Male,Adult,No
1235,Male,Adult,No
1236,Male,Adult,No
1237,Male,Adult,No
1238,Male,Adult,No
1239,Male,Adult,No
1240,Male,Adult,No
1241,Male,Adult,No
1242,Male,Adult,No
1243,Male,Adult,No
1244,Male,Adult,No
1245,Male,Adult,No
1246,Male,Adult,No
1247,Male,Adult,No
1248,Male,Adult,No
1249,Male,Adult,No
1250,Male,Adult,No
1251,Male,Adult,No
